,isExternalPostamat,id,wayInfoImagesCount,address,workTime,wayInfo,imageLocationPath,cityId,cityName,cityNameUfu,regionName,coordinates,sale,smId,fastestDatesByStore,deliveryPointType,bonus,legacyDstId,isWb,country
0,False,18322,3,"г. Нур-Султан (Астана) (город республиканского значения Нур-Султан), проспект Улы Дала, д. 25",Ежедневно 10:00-20:00,,Img18322,2130970,Астана,astana,,"51.09434489,71.440139288",0,6,{},0,0,6254380,True,Kazakhstan
1,False,15063,3,"г. Алматы, улица Жандосова, д. 150А",Ежедневно 10:00-20:00,,Img15063,2078779,Алматы,almaty,,"43.213862,76.872503",0,6,{},0,0,5358038,True,Kazakhstan
2,False,16615,3,"г. Талдыкорган (Алматинская область), МКР Молодежный, д. 42",Ежедневно 10:00-21:00,,Img16615,2081207,Талдыкорган,taldykorgan,,"44.999691,78.358862",0,6,{},0,0,5790311,True,Kazakhstan
3,False,851,3,"г. Костанай (Костанайская область), ул. Челябинская, д. 6",Ежедневно 10:00-21:00,"Пункт самовывоза находится в районе Военного городка,  на пересечении улиц Баумана – Спортивная, магазин «Керемет», 2ой этаж.
Остановка «Туб. диспансер» - № 21, 38, 19.
Ост. «15 магазин» – № 25, 21, 38.
Ост. «Фараон» – № 12.
(Біздің мекен жайымыз:: - Әскери қалашықтың көшелерінің қиылысында Бауман – Спорттык көшесі, ""Керемет"", 2-қабат)
",kostanay_01,2105055,Костанай,kostanay,,"53.192589902,63.599159598",0,6,{},0,0,4542150,True,Kazakhstan
4,False,16739,3,"г. Кокшетау (Акмолинская область), мкр Коктем , д. 10А",Ежедневно 10:00-21:00,,Img16739,2078883,Кокшетау,kokshetau,,"53.314028213,69.386412653",0,6,{},0,0,5937440,True,Kazakhstan
5,False,14137,3,"г. Усть-Каменогорск (Восточно-Казахстанская область), улица Утепова, д. 7",Ежедневно 10:00-21:00,,Img14137,2078956,Усть-Каменогорск,ust-kamenogorsk,,"49.898719,82.619405",0,6,{},0,0,4998044,True,Kazakhstan
6,False,107659,3,Каратау (Жамбылская область) Абилда Акшораев 1Б,Ежедневно 10:00-21:00,,Img107659,2081172,Каратау,karatau,,"43.171955,70.47155",0,6,{},0,0,6255697,True,Kazakhstan
7,False,17105,3,"г. Караганда (Карагандинская область), улица Гоголя, д. 51",Ежедневно 10:00-21:00,,Img17105,2078867,Караганда,karaganda,,"49.809158072,73.103563229",0,6,{},0,0,6076582,True,Kazakhstan
8,False,15652,3,"г. Актобе (Актюбинская область), проспект Победы, д. 11",Ежедневно 10:00-20:00,,Img15652,2078794,Актобе,aktobe,,"50.317287,57.144059",0,6,{},0,0,5484967,True,Kazakhstan
9,False,16610,3,"г. Усть-Каменогорск (Восточно-Казахстанская область), улица Кабанбай батыра, д. 120",Ежедневно 10:00-21:00,,Img16610,2078956,Усть-Каменогорск,ust-kamenogorsk,,"49.950096,82.638403",0,6,{},0,0,5782562,True,Kazakhstan
10,False,812,3,"г. Семей (Семейский р-н.), ул. Казбагарова, 30",Ежедневно 10:00-20:00,"Пункт самовывоза находится за торговым домом ""Рахат"". Вход на самовывоз находится рядом с букмейкерской конторой. (ПВЗ Рахат сауда үйінін артында Қазбагаров көшесінде орналасқан, Кіретін жағы Букмекер қанторасынын қасында.)",Img812,2081091,Семей,semey,,"50.410218,80.258346",0,6,{},0,0,4542153,True,Kazakhstan
11,False,17962,3,"г. Нур-Султан (Астана) (город республиканского значения Нур-Султан), улица 187, д. 16/3",Ежедневно 10:00-20:00,,Img17962,2130970,Астана,astana,,"51.171579794,71.38804338",0,6,{},0,0,6253723,True,Kazakhstan
12,False,109163,3,г Усть-Каменогорск (Восточно-Казахстанская обл) Казыбек Би 42,Ежедневно 10:00-21:00,,Img109163,2078956,Усть-Каменогорск,ust-kamenogorsk,,"49.8994,82.603825",0,6,{},0,0,6257008,True,Kazakhstan
13,False,17378,3,"г. Нур-Султан (Астана) (город республиканского значения Нур-Султан), улица Куйши Дина, д. 23",Ежедневно 10:00-20:00,,Img17378,2078769,Астана,astana,,"51.148371,71.477636",0,6,{},0,0,6159441,True,Kazakhstan
14,False,112645,3,"г Караганда (Карагандинская область), Крылова",Ежедневно 10:00-21:00,,Img112645,2078867,Караганда,karaganda,,"49.801024,73.06273",0,6,{},0,0,6257454,True,Kazakhstan
15,False,101615,3,г. Шымкент (Южно-Казахстанская область) Наурыз улица д. 1Б,Ежедневно 10:00-21:00,,Img101615,2078972,Шымкент,shymkent,,"42.346729,69.606058",0,6,{},0,0,6253977,True,Kazakhstan
16,False,12119,3,"г. Нур-Султан (Астана) (город республиканского значения Нур-Султан), улица Илияса Есенберлина, д. 18",Ежедневно 10:00-20:00,"Пункт самовывоза расположен на пересечении улиц Есенберлина и Алтынсарина. Вход со стороны улицы между магазином «Фермер» и аптекой «Гиппократ». ТБП Есенберлин, Алтынсарин және Есенберлин көшелерінің қиылысында орналасқан. Кіру Фермер дүкені мен Гиппократ дәріханасы арасындағы көше арқалы.",Img12119,2130970,Астана,astana,,"51.190094,71.410103",0,6,{},0,0,4471767,True,Kazakhstan
17,False,112815,3,г Семей (Восточно-Казахстанская область) улица Мамай батыра 99,Ежедневно 10:00-20:00,,Img112815,2081091,Семей,semey,,"50.425233,80.241367",0,6,{},0,0,6257319,True,Kazakhstan
