fp_id,address,index,new_index,name,schedule,phone,branch_id,latitude,longitude,type,credit_point,punkt_currency,status,status_desc,schedule_detail
4,"Акмолинская  область, Аккольский район, с. Урюпинка, ул. Кенесары, д. 5 ",020112,C13F3E4,СОПС с.Урюпинка,"Будни 09:00-17:00 Перерыв 13:00-14:00, Суббота 09:00-13:00, Воскресенье-Выходной",8(71638)31730,,51.937044,70.423136,dep,0,0,1,,
9,"Акмолинская область, Аккольский район, с. Енбек, ул. Бейбитшилик, д. 39 ",020111,C13A0C8,СОПС Енбек,"Будни 09:00-13:00, Суббота, Воскресенье-Выходной",8(71638)53093,,51.874102,70.947271,dep,0,0,1,,
26,"Акмолинская область, г. Кокшетау, мкр. Жайлау, д. 21 ",020001,C00B5A6,ГОПС-1 г.Кокшетау,"Будни 09.00 - 18.00, перерыва 13.00 - 14.00, Сб.: и Вс.: выходной",8(716) 252-1108,,53.253842,69.364841,dep,0,0,1,,
66,"Северо-Казахстанская  область, Айыртауский район, с. Айыртау, ул. Советская, д. б/н",150101,,ППС с.Айыртау,"Будни 09:00-14:00, Суббота, Воскресенье-Выходной",8(71533)53622,,53.154093,68.334026,dep,0,0,1,,
71,"Актюбинская  область, Алгинский район, г. Алга, ул. Есет батыра, д. 23",030200,D13B6B7,ЦОУ Алгинского РУПС,"Будни 09:00-18:00, Суббота 09:00-14:00, Воскресенье-Выходной",8(713) 374-1655,451,49.891972,57.325518,dep,1,1,1,,"{'mon_begin': '09:00', 'mon_end': '18:00', 'tue_begin': '09:00', 'tue_end': '18:00', 'wed_begin': '09:00', 'wed_end': '18:00', 'thu_begin': '09:00', 'thu_end': '18:00', 'fri_begin': '09:00', 'fri_end': '18:00', 'sat_begin': '09:00', 'sat_end': '14:00', 'sun_begin': '', 'sun_end': ''}"
74,"Костанайская область, Аркалыкский район, с. Восточное, ул. Советская, д. 4 ",110307,,СОПС с.Восточное,"понедельник, четверг 16:30-18:30, без перерывов. Вторник, среда, пятница, суббота, воскресенье - выходные.",8(71430)23020,,50.562785,66.754307,dep,0,0,1,,
75,"Актюбинская область, Айтекебийский район, с. Талдысай, ул. Есет батыра, д. 5 ",030118,D10A7X1,СОПС с.Талдысай,"Понедельник 10-00 до 14-00, Вторник-пятница 10-00 до 13-00, без перерыва; суббота, воскресенье-выходной",8(71339)32224,,50.462437,60.335243,dep,0,0,1,,
77,"Костанайская область, Амангельдинский район, с. Байгабул, ул. Б.Байкадамова, д. 13 ",110201,,СОПС с.Байгабул,"Вторник, Среда, Четверг, Пятница 14:00-15:55, без перерывов. Суббота, Воскресенье-Выходной",,,50.114809,64.989886,dep,0,0,1,,
78,"Костанайская область, Амангельдинский район, с. Жалдама, ул. Кейки батыра, д. 27 ",110202,,СОПС с.Жалдама,"Понедельник, Вторник, Четверг, Пятница 10:00-12:50, без перерывов. Среда, Суббота, Воскресенье-Выходной",,,50.44858,65.651853,dep,1,0,1,,
81,"Костанайская область, Аркалыкский район, г. Аркалык, ул. Демченко, д. 31 ",110301,P10C6F5,ГОПС-1 г.Аркалык,"Будни 09:00-18:00 Перерыв 13:00-14:00, Суббота, Воскресенье-Выходной",8(71430)72500,,50.249219,66.901876,dep,1,0,1,,
82,"Актюбинская область, Айтекебийский район, с. Жабасак, ул. Самырат (Жургенова), д. 25",030108,D10B0D9,СОПС с..Жабасак,"Понедельник 10-00 до 14-00, Вторник-пятница 10-00 до 13-00,  без перерыва; суббота, воскресенье-выходной",8(713) 393-4100,,50.365347,61.672371,dep,0,0,1,,
83,"Актюбинская область, Айтекебийский район, с. Тымабулак, ул. Сатпаева, д. 3",030120,D10A8B0,СОПС с.Тымабулак,"Понедельник 10-00 до 14-00, Вторник-пятница 10-00 до 13-00,  без перерыва; суббота, воскресенье-выходной",8(71337)28001,,50.210847,61.117433,dep,0,0,1,,
89,"Актюбинская  область, Айтекебийский район, с. Кумкудук, ул. Жакибай Жырау, д. 23 ",030113,D10D2F5,СОПС с.Кумкудык,Понедельник-суббота 10-00 до-15-00 обед 12-00 до 13-00; воскресенье-выходной,8(71339)21220,,50.469081,61.218033,dep,0,0,1,,
90,"Костанайская область, Амангельдинский район, с. Карасу, ул. Д.Есполова, д. 15 ",110204,,СОПС с.Карасу,"Понедельник, Вторник, Четверг, Пятница 14:00-15:55, без перерывов. Среда, Суббота, Воскресенье-Выходной",,,50.287908,65.375637,dep,0,0,1,,
91,"Костанайская область, Амангельдинский район, с. Урпек, ул. Джангельдина, д. 10 ",110203,,СОПС с.Урпек,"Понедельник, Вторник, Четверг, Пятница 11:00-12:55, без перерывов. Среда, Суббота, Воскресенье-Выходной",,,50.104157,65.309953,dep,0,0,1,,
92,"Костанайская область, Аркалыкский район, с. Фурманово, ул. Бейбитшилик, д. 10 ",110314,P10B5X4,СОПС с.Фурманово,"понедельник, четверг 14:00-17:00, вторник, среда, пятница 11:00-13:00, без перерывов. Суббота, воскресенье - выходные.",8(71430)24138,,50.502691,66.781753,dep,0,0,1,,
93,"Актюбинская область, Айтекебийский район, с. Карабутак, ул. Айтеке би, д. 30",030112,D13D8G6,СОПС с.Карабутак,"Понедельник-пятница 09-00 до 17-00, обед 13-00 до 14-00, суббота 09-00 до 14-00, воскресенье-выходной",8(713) 392-5430,,49.960819,60.109345,dep,1,0,1,,
94,"Костанайская  область, Аркалыкский район, с. Родина, ул. Гагарина, д. 21 ",110312,P10C0D7,СОПС с.Родина,"Понедельник, Вторник, Среда, Четверг,  09:30-17:00, Пятница 09:00-17:00,  без перерыва, Суббота, Воскресенье-Выходной",8(716) 513-7677,,50.279077,66.887709,dep,1,0,1,,
95,"Костанайская область, Аркалыкский район, с. Молодежное, пр. Набережная, д. 38 ",110311,,СОПС Молодежное,"Вторник, Пятница 11:00-13:00, Понедельник, Среда, Четверг, Суббота, Воскресенье-Выходной",8(71430)30617,,50.178666,67.446226,dep,0,0,1,,
96,"Костанайская область, Аркалыкский район, с. Кайынды, ул. Бейбитшилик, д. 31 ",110309,,СОПС с.Кайынды,"понедельник, четверг 12:00-14:00, вторник-среда 14:00-17:00, пятница 14:00-16:00, без перерывов. Суббота, воскресенье - выходные.",8(71430)25022,,50.015241,66.080535,dep,0,0,1,,
97,"Костанайская область, Аркалыкский район, с. Ашутасты, ул. Мичурина, д. 2 ",110306,,СОПС с.Ашутасты,"понедельник, вторник, четверг 11:00-13:00, пятница 13:00-15:00, без перерывов. Среда, суббота, воскресенье - выходные.",8(71430)22111,,50.118266,66.573141,dep,0,0,1,,
98,"Костанайская  область, Аркалыкский район, г. Аркалык, ул. Байтурсынова, д. 8 ",110302,P10C5A4,ГОПС-2 г.Аркалык,"Будни 09:00-18:00 Перерыв 12:00-13:00, Суббота, Воскресенье-Выходной",8(71430)70593,,50.251109,66.926254,dep,0,0,1,,
102,"Костанайская область, Аулиекольский район, с. Аманкарагай, ул. ул. Вокзальная, д. б/н ",110401,P25E9T2,СОПС с.Аманкарагай,"Будни 09:00-18:00, Суббота, Воскресенье-Выходной",8(71453)99137,,52.412917,64.088138,dep,1,0,1,,
103,"Костанайская область, Аулиекольский район, с. Кушмурун, ул. Комсомольская, д. 27 ",110406,P25A7C4,СОПС с.Кушмурун,"Будни 09:00-18:00, Суббота, Воскресенье-Выходной",8(71453)95240,,52.448725,64.614474,dep,1,0,1,,
106,"Костанайская область, Аулиекольский район, с. Юльевка, ул. Ленина, д. 3 ",110415,,СОПС с.Юльевка,"понедельник, четверг, пятница 9:00-12:00, без перерывов. Вторник, среда, суббота, воскресенье - выходные.",8(71453)93731,,52.11699,64.266229,dep,0,0,1,,
107,"Костанайская область, Аулиекольский район, с. Черниговка, ул. Ленина, д. 23 ",110414,,СОПС с.Черниговка,"понедельник, четверг, пятница 9:00-11:00, без перерывов. Вторник, среда,  суббота, воскресенье - выходные.",8(71453)98733,,52.405281,64.389174,dep,0,0,1,,
108,"Костанайская  область, Аулиекольский район, с. Тимофеевка, ул. Школьная, д. б/н ",110413,,СОПС с.Тимофеевка,"Понедельник, Четверг,Вторник, Пятница 09:00-13:00, Среда, Суббота, Воскресенье-Выходной",8(71430)91133,,52.297763,63.524797,dep,0,0,1,,
109,"Актюбинская область, Айтекебийский район, с. Жамбыл, ул. Ленина, д. 20",030110,D10B1D0,ППС с.Жамбыл,"Понедельник 10-00 до 14-00, Вторник-пятница 10-00 до 13-00,  без перерыва; суббота, воскресенье-выходной",8(713)3932433,,50.568771,60.185923,dep,0,0,1,,
112,"Костанайская  область, Аулиекольский район, с. Октябрьский, ул. Ленина, д. 10 ",110411,P25H2D4,СОПС с.Октябрьский,"вторник, четверг, пятница 13:00-16:00, без перерывов. Понедельник, среда,  суббота, воскресенье - выходные.",,,52.480687,63.635703,dep,0,0,1,,
114,"Костанайская  область, Аулиекольский район, с. Новонежинка, ул. Комсомольская, д. 5Б ",110409,,СОПС с.Новонежинка,"Будни 10:00-14:00, Суббота, Воскресенье-Выходной",8(71453)97790,,52.537,64.032507,dep,1,0,1,,
115,"Костанайская  область, Аулиекольский район, с. Диевка, ул. Абая, д. 2 ",110403,,СОПС с.Диевка,"Понедельник, Вторник, Среда, Четверг 09:00-12:00, Пятница 09:00-13:00, Суббота, Воскресенье-Выходной",8(71430)97133,,52.222282,63.929753,dep,0,0,1,,
117,"Костанайская  область, Денисовский район, с. Аятское, ул. 50 лет Казахстана, д. 2 ",110503,P28A9B0,СОПС с.Аятское,"Понедельник, Вторник, Среда,  Четверг  10:00-12:00, Пятница 10:00-14:00, Суббота, Воскресенье-Выходной",8(71434)97675,,52.864737,61.529686,dep,0,0,1,,
