,city_name,fl,fon,house_number,latitude,longitude,m,od,oid,on,pb2b,pb2c,pla,pr,r12c,rid,sb2b,sb2c,street_name,svc,tc,tt
0,г. Аткарск,-,г. Аткарск ул. Советская 62 -,62,51.8706,44.997,,2015-09-01 00:00:00,2023915,"Аткарск, ул. Советская 62",,88001000800,False,1,523501,64,False,True,ул. Советская,"[{'sid': 1, 'sn': 'Подключение Домашнего Интернета', 'ss': 1}, {'sid': 2, 'sn': 'Подключение Интерактивного ТВ', 'ss': 1}, {'sid': 4, 'sn': 'Подключение Мобильной связи', 'ss': 1}, {'sid': 50, 'sn': 'Видеонаблюдение', 'ss': 1}, {'sid': 74, 'sn': 'Обслуживание Абонентов', 'ss': 1}, {'sid': 79, 'sn': 'Продажа мобильных телефонов и смартфонов', 'ss': 1}]","{'de': None, 'ds': None, 'rc': None}","[{'be': None, 'bs': None, 'dn': 1, 'we': '17:00', 'ws': '08:00'}, {'be': None, 'bs': None, 'dn': 2, 'we': '17:00', 'ws': '08:00'}, {'be': None, 'bs': None, 'dn': 3, 'we': '17:00', 'ws': '08:00'}, {'be': None, 'bs': None, 'dn': 4, 'we': '17:00', 'ws': '08:00'}, {'be': None, 'bs': None, 'dn': 5, 'we': '16:00', 'ws': '08:00'}]"
1,г. Энгельс,-,г. Энгельс ул. Волоха 9 -,9,51.4914,46.1177,,2015-09-01 00:00:00,2023919,"Энгельс, ул. Волоха 9",,88001000800,False,2,523512,64,False,True,ул. Волоха,"[{'sid': 1, 'sn': 'Подключение Домашнего Интернета', 'ss': 1}, {'sid': 2, 'sn': 'Подключение Интерактивного ТВ', 'ss': 1}, {'sid': 4, 'sn': 'Подключение Мобильной связи', 'ss': 1}, {'sid': 50, 'sn': 'Видеонаблюдение', 'ss': 1}, {'sid': 74, 'sn': 'Обслуживание Абонентов', 'ss': 1}, {'sid': 79, 'sn': 'Продажа мобильных телефонов и смартфонов', 'ss': 1}]","{'de': None, 'ds': None, 'rc': None}","[{'be': None, 'bs': None, 'dn': 1, 'we': '18:00', 'ws': '09:00'}, {'be': None, 'bs': None, 'dn': 2, 'we': '18:00', 'ws': '09:00'}, {'be': None, 'bs': None, 'dn': 3, 'we': '18:00', 'ws': '09:00'}, {'be': None, 'bs': None, 'dn': 4, 'we': '18:00', 'ws': '09:00'}, {'be': None, 'bs': None, 'dn': 5, 'we': '18:00', 'ws': '09:00'}, {'be': None, 'bs': None, 'dn': 6, 'we': '17:00', 'ws': '10:00'}]"
2,г. Орск,-,г. Орск ул. Ленина 23 -,23,51.22789,58.47549,,2015-09-01 00:00:00,2023920,"Орск, ул. Ленина 23",,88001000800,False,2,523211,56,False,True,ул. Ленина,"[{'sid': 1, 'sn': 'Подключение Домашнего Интернета', 'ss': 1}, {'sid': 2, 'sn': 'Подключение Интерактивного ТВ', 'ss': 1}, {'sid': 4, 'sn': 'Подключение Мобильной связи', 'ss': 1}, {'sid': 50, 'sn': 'Видеонаблюдение', 'ss': 1}, {'sid': 74, 'sn': 'Обслуживание Абонентов', 'ss': 1}, {'sid': 79, 'sn': 'Продажа мобильных телефонов и смартфонов', 'ss': 1}]","{'de': None, 'ds': None, 'rc': None}","[{'be': None, 'bs': None, 'dn': 1, 'we': '18:00', 'ws': '09:00'}, {'be': None, 'bs': None, 'dn': 2, 'we': '18:00', 'ws': '09:00'}, {'be': None, 'bs': None, 'dn': 3, 'we': '18:00', 'ws': '09:00'}, {'be': None, 'bs': None, 'dn': 4, 'we': '18:00', 'ws': '09:00'}, {'be': None, 'bs': None, 'dn': 5, 'we': '18:00', 'ws': '09:00'}]"
3,г. Саранск,-,г. Саранск ул. Большевистская 11 -,11,54.182306,45.182243,,2015-09-01 00:00:00,2023928,"Саранск, ул. Большевистская 11",,88001000800,False,2,523552,13,False,True,ул. Большевистская,"[{'sid': 1, 'sn': 'Подключение Домашнего Интернета', 'ss': 1}, {'sid': 2, 'sn': 'Подключение Интерактивного ТВ', 'ss': 1}, {'sid': 4, 'sn': 'Подключение Мобильной связи', 'ss': 1}, {'sid': 50, 'sn': 'Видеонаблюдение', 'ss': 1}, {'sid': 74, 'sn': 'Обслуживание Абонентов', 'ss': 1}, {'sid': 79, 'sn': 'Продажа мобильных телефонов и смартфонов', 'ss': 1}]","{'de': None, 'ds': None, 'rc': None}","[{'be': None, 'bs': None, 'dn': 1, 'we': '20:00', 'ws': '08:00'}, {'be': None, 'bs': None, 'dn': 2, 'we': '20:00', 'ws': '08:00'}, {'be': None, 'bs': None, 'dn': 3, 'we': '20:00', 'ws': '08:00'}, {'be': None, 'bs': None, 'dn': 4, 'we': '20:00', 'ws': '08:00'}, {'be': None, 'bs': None, 'dn': 5, 'we': '20:00', 'ws': '08:00'}, {'be': None, 'bs': None, 'dn': 6, 'we': '17:00', 'ws': '09:00'}]"
4,с. Сакмара,-,с. Сакмара ул. Советская 23 -,23,51.9848,55.3329,,2015-09-01 00:00:00,2023939,"Сакмара, ул. Советская 23",,88001000800,False,1,523213,56,False,True,ул. Советская,"[{'sid': 1, 'sn': 'Подключение Домашнего Интернета', 'ss': 1}, {'sid': 2, 'sn': 'Подключение Интерактивного ТВ', 'ss': 1}, {'sid': 4, 'sn': 'Подключение Мобильной связи', 'ss': 1}, {'sid': 50, 'sn': 'Видеонаблюдение', 'ss': 1}, {'sid': 74, 'sn': 'Обслуживание Абонентов', 'ss': 1}, {'sid': 79, 'sn': 'Продажа мобильных телефонов и смартфонов', 'ss': 1}]","{'de': None, 'ds': None, 'rc': None}","[{'be': None, 'bs': None, 'dn': 1, 'we': '17:00', 'ws': '09:00'}, {'be': None, 'bs': None, 'dn': 2, 'we': '17:00', 'ws': '09:00'}, {'be': None, 'bs': None, 'dn': 3, 'we': '17:00', 'ws': '09:00'}, {'be': None, 'bs': None, 'dn': 4, 'we': '17:00', 'ws': '09:00'}, {'be': None, 'bs': None, 'dn': 5, 'we': '17:00', 'ws': '09:00'}]"
5,г. Соль-Илецк,-,г. Соль-Илецк ул. Цвиллинга 66 -,66,51.1582,54.9802,,2015-09-01 00:00:00,2023940,"Соль-Илецк, ул. Цвиллинга 66",,88001000800,False,1,523215,56,False,True,ул. Цвиллинга,"[{'sid': 1, 'sn': 'Подключение Домашнего Интернета', 'ss': 1}, {'sid': 2, 'sn': 'Подключение Интерактивного ТВ', 'ss': 1}, {'sid': 4, 'sn': 'Подключение Мобильной связи', 'ss': 1}, {'sid': 50, 'sn': 'Видеонаблюдение', 'ss': 1}, {'sid': 74, 'sn': 'Обслуживание Абонентов', 'ss': 1}, {'sid': 79, 'sn': 'Продажа мобильных телефонов и смартфонов', 'ss': 1}]","{'de': '2020-06-07 21:00:00', 'ds': '2020-05-25 22:00:00', 'rc': 'Указ региональных властей'}","[{'be': None, 'bs': None, 'dn': 1, 'we': '18:00', 'ws': '09:00'}, {'be': None, 'bs': None, 'dn': 2, 'we': '18:00', 'ws': '09:00'}, {'be': None, 'bs': None, 'dn': 3, 'we': '18:00', 'ws': '09:00'}, {'be': None, 'bs': None, 'dn': 4, 'we': '18:00', 'ws': '09:00'}, {'be': None, 'bs': None, 'dn': 5, 'we': '18:00', 'ws': '09:00'}]"
6,п. Тюльган,-,п. Тюльган ул. Максима Горького 27 -,27,52.3409,56.1604,,2015-09-01 00:00:00,2023941,"Тюльган, ул. Максима Горького 27",,88001000800,False,1,523221,56,False,True,ул. Максима Горького,"[{'sid': 1, 'sn': 'Подключение Домашнего Интернета', 'ss': 1}, {'sid': 2, 'sn': 'Подключение Интерактивного ТВ', 'ss': 1}, {'sid': 4, 'sn': 'Подключение Мобильной связи', 'ss': 1}, {'sid': 50, 'sn': 'Видеонаблюдение', 'ss': 1}, {'sid': 74, 'sn': 'Обслуживание Абонентов', 'ss': 1}, {'sid': 79, 'sn': 'Продажа мобильных телефонов и смартфонов', 'ss': 1}]","{'de': None, 'ds': None, 'rc': None}","[{'be': None, 'bs': None, 'dn': 1, 'we': '17:00', 'ws': '09:00'}, {'be': None, 'bs': None, 'dn': 2, 'we': '17:00', 'ws': '09:00'}, {'be': None, 'bs': None, 'dn': 3, 'we': '17:00', 'ws': '09:00'}, {'be': None, 'bs': None, 'dn': 4, 'we': '17:00', 'ws': '09:00'}, {'be': None, 'bs': None, 'dn': 5, 'we': '17:00', 'ws': '09:00'}]"
7,пгт. Сернур,-,пгт. Сернур ул. Коммунистическая 83 -,83,56.9337,49.1465,,2015-09-01 00:00:00,2023951,"Сернур, ул. Коммунистическая 83",,88001000800,False,1,523663,12,False,True,ул. Коммунистическая,"[{'sid': 1, 'sn': 'Подключение Домашнего Интернета', 'ss': 1}, {'sid': 2, 'sn': 'Подключение Интерактивного ТВ', 'ss': 1}, {'sid': 4, 'sn': 'Подключение Мобильной связи', 'ss': 1}, {'sid': 50, 'sn': 'Видеонаблюдение', 'ss': 1}, {'sid': 74, 'sn': 'Обслуживание Абонентов', 'ss': 1}, {'sid': 79, 'sn': 'Продажа мобильных телефонов и смартфонов', 'ss': 1}]","{'de': None, 'ds': None, 'rc': None}","[{'be': None, 'bs': None, 'dn': 1, 'we': '18:00', 'ws': '08:00'}, {'be': None, 'bs': None, 'dn': 2, 'we': '18:00', 'ws': '08:00'}, {'be': None, 'bs': None, 'dn': 3, 'we': '18:00', 'ws': '08:00'}, {'be': None, 'bs': None, 'dn': 4, 'we': '18:00', 'ws': '08:00'}, {'be': None, 'bs': None, 'dn': 5, 'we': '18:00', 'ws': '08:00'}]"
8,г. Звенигово,-,г. Звенигово ул. Пушкина 53 -,53,55.9695,48.0199,,2015-09-01 00:00:00,2023953,"Звенигово, ул. Пушкина 53",,88001000800,False,1,523655,12,False,True,ул. Пушкина,"[{'sid': 1, 'sn': 'Подключение Домашнего Интернета', 'ss': 1}, {'sid': 2, 'sn': 'Подключение Интерактивного ТВ', 'ss': 1}, {'sid': 4, 'sn': 'Подключение Мобильной связи', 'ss': 1}, {'sid': 50, 'sn': 'Видеонаблюдение', 'ss': 1}, {'sid': 74, 'sn': 'Обслуживание Абонентов', 'ss': 1}, {'sid': 79, 'sn': 'Продажа мобильных телефонов и смартфонов', 'ss': 1}]","{'de': None, 'ds': None, 'rc': None}","[{'be': '13:00', 'bs': '12:00', 'dn': 1, 'we': '17:00', 'ws': '08:00'}, {'be': '13:00', 'bs': '12:00', 'dn': 2, 'we': '17:00', 'ws': '08:00'}, {'be': '13:00', 'bs': '12:00', 'dn': 3, 'we': '17:00', 'ws': '08:00'}, {'be': '13:00', 'bs': '12:00', 'dn': 4, 'we': '17:00', 'ws': '08:00'}, {'be': '13:00', 'bs': '12:00', 'dn': 5, 'we': '17:00', 'ws': '08:00'}]"
9,г. Кузнецк,-,г. Кузнецк ул. Ленина 247 -,247,53.1168,46.6093,,2015-09-01 00:00:00,2023958,"Кузнецк, ул. Ленина 247",,88001000800,False,1,523304,58,False,True,ул. Ленина,"[{'sid': 1, 'sn': 'Подключение Домашнего Интернета', 'ss': 1}, {'sid': 2, 'sn': 'Подключение Интерактивного ТВ', 'ss': 1}, {'sid': 4, 'sn': 'Подключение Мобильной связи', 'ss': 1}, {'sid': 50, 'sn': 'Видеонаблюдение', 'ss': 1}, {'sid': 74, 'sn': 'Обслуживание Абонентов', 'ss': 1}, {'sid': 79, 'sn': 'Продажа мобильных телефонов и смартфонов', 'ss': 1}]","{'de': None, 'ds': None, 'rc': None}","[{'be': None, 'bs': None, 'dn': 1, 'we': '18:00', 'ws': '08:00'}, {'be': None, 'bs': None, 'dn': 2, 'we': '18:00', 'ws': '08:00'}, {'be': None, 'bs': None, 'dn': 3, 'we': '18:00', 'ws': '08:00'}, {'be': None, 'bs': None, 'dn': 4, 'we': '18:00', 'ws': '08:00'}, {'be': None, 'bs': None, 'dn': 5, 'we': '18:00', 'ws': '08:00'}]"
